STATE,YEAR,Gain,Property Dispute,Personal Vendetta or Enemity,Love Affairs/ Sexual relations,Dowry,Lunacy,Witchcraft,Communalism,Casteism,Class Conflict,Political Reasons,Terrorists/ Extremists,Other Causes,Total
DAMAN & DIU,2011,0,0,0,0,0,0,1,0,0,0,0,0,5,6
DELHI,2011,39,25,55,36,14,0,0,0,0,0,0,1,373,543
LAKSHADWEEP,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,2011,1,0,17,4,0,0,0,0,0,0,0,0,10,32
TOTAL (UTs),2011,41,27,82,51,16,0,1,0,0,0,0,1,414,633
TOTAL (ALL-INDIA),2011,1759,3337,3668,2688,1339,29,240,21,35,42,147,419,20581,34305
ANDHRA PRADESH,2012,204,219,317,445,167,4,24,0,0,0,2,17,1318,2717
ARUNACHAL PRADESH,2012,0,3,7,1,0,0,0,0,0,0,0,5,57,73
ASSAM,2012,59,100,57,25,67,1,1,0,41,0,0,17,1000,1368
BIHAR,2012,319,1159,570,185,102,8,13,4,3,13,32,9,1149,3566
CHHATTISGARH,2012,36,77,78,45,16,26,8,1,2,0,0,71,638,998
GOA,2012,6,1,5,4,0,0,0,0,0,0,0,0,29,45
GUJARAT,2012,87,121,118,116,4,12,2,1,3,0,1,0,661,1126
HARYANA,2012,70,130,218,50,15,0,0,0,0,1,3,0,504,991
HIMACHAL PRADESH,2012,3,6,7,10,0,0,0,0,0,0,0,0,87,113
JAMMU & KASHMIR,2012,6,9,6,11,1,0,0,0,0,0,1,23,67,124
JHARKHAND,2012,138,228,292,108,71,20,26,0,2,0,4,54,751,1694
KARNATAKA,2012,87,80,179,122,74,1,0,2,2,0,4,0,1309,1860
KERALA,2012,32,17,90,3,0,4,0,0,0,0,5,0,223,374
MADHYA PRADESH,2012,47,291,565,240,68,4,10,0,3,0,28,0,1117,2373
MAHARASHTRA,2012,87,131,211,254,130,6,1,2,5,9,1,22,1853,2712
MANIPUR,2012,0,0,2,1,0,0,0,0,0,0,0,12,68,83
MEGHALAYA,2012,20,9,22,2,0,1,0,0,0,0,0,7,76,137
MIZORAM,2012,3,0,2,1,0,0,0,0,0,0,0,0,24,30
NAGALAND,2012,0,0,0,2,0,0,0,0,0,0,3,0,70,75
ODISHA,2012,45,87,163,79,415,0,32,0,0,0,6,7,714,1548
PUNJAB,2012,8,55,49,83,5,0,0,0,0,0,0,0,655,855
RAJASTHAN,2012,37,41,100,39,38,1,0,0,0,5,0,0,1200,1461
SIKKIM,2012,2,0,1,0,1,0,0,0,0,0,0,0,3,7
TAMIL NADU,2012,137,143,322,291,12,2,0,1,11,10,5,0,1015,1949
TRIPURA,2012,10,12,38,1,9,2,1,1,0,0,0,0,50,124
UTTAR PRADESH,2012,133,146,242,325,0,0,0,3,1,0,2,0,4114,4966
UTTARAKHAND,2012,5,5,3,5,0,0,0,0,0,0,0,0,199,217
WEST BENGAL,2012,66,69,131,39,252,4,1,0,0,1,22,1,1666,2252
TOTAL (STATES),2012,1647,3139,3795,2487,1447,96,119,15,73,39,119,245,20617,33838
A & N ISLANDS,2012,0,1,9,1,1,0,0,0,0,0,0,0,3,15
CHANDIGARH,2012,0,0,3,1,0,0,0,0,0,0,0,0,17,21
D & N HAVELI,2012,0,0,0,0,0,0,0,0,0,0,0,0,7,7
DAMAN & DIU,2012,0,0,0,1,0,0,0,0,0,0,0,0,2,3
DELHI,2012,36,29,56,54,10,0,0,0,0,0,1,0,335,521
LAKSHADWEEP,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,2012,5,0,14,5,0,0,0,0,0,0,0,0,5,29
TOTAL (UTs),2012,41,30,82,62,11,0,0,0,0,0,1,0,369,596
TOTAL (ALL-INDIA),2012,1688,3169,3877,2549,1458,96,119,15,73,39,120,245,20986,34434
Andhra Pradesh,2013,240,152,230,385,94,1,15,0,0,0,12,11,1344,2484
Arunachal Pradesh,2013,0,1,3,3,0,0,2,0,0,0,0,0,60,69
Assam,2013,88,194,124,30,105,1,6,4,0,0,0,33,769,1354
Bihar,2013,371,822,591,100,101,0,0,0,0,0,12,4,1440,3441
Chhattisgarh,2013,18,60,91,42,10,2,7,1,1,0,0,45,668,945
Goa,2013,5,3,5,1,0,0,0,0,0,0,0,0,22,36
Gujarat,2013,70,100,134,156,10,4,4,0,1,0,0,0,639,1118
Haryana,2013,63,131,221,70,16,0,0,0,0,0,0,0,481,982
Himachal Pradesh,2013,2,11,6,4,1,0,0,0,0,0,0,0,80,104
Jammu & Kashmir,2013,3,8,6,9,1,0,0,0,0,0,0,36,87,150
Jharkhand,2013,108,184,180,92,100,1,54,0,0,0,0,88,823,1630
Karnataka,2013,69,64,69,116,68,1,0,0,2,0,5,0,1207,1601
Kerala,2013,25,10,79,1,0,0,0,1,0,0,7,0,249,372
Madhya Pradesh,2013,58,242,404,216,52,6,11,0,4,0,22,0,1097,2112
Maharashtra,2013,67,162,207,220,81,6,10,4,11,1,3,11,1729,2512
Manipur,2013,0,0,0,0,0,0,0,0,0,0,0,7,86,93
Meghalaya,2013,20,7,6,2,0,1,8,0,0,0,2,14,106,166
Mizoram,2013,1,0,3,1,0,0,0,0,0,0,0,0,22,27
Nagaland,2013,0,0,4,0,0,0,1,0,0,1,1,5,66,78
Odisha,2013,51,133,146,92,383,0,24,0,0,0,1,4,620,1454
Punjab,2013,7,71,55,79,17,4,0,0,0,0,1,0,477,711
Rajasthan,2013,29,51,67,47,40,0,1,1,0,0,0,0,1337,1573
Sikkim,2013,4,0,2,0,0,0,0,0,0,0,0,0,9,15
Tamil Nadu,2013,121,164,369,316,11,8,16,2,8,7,7,0,907,1936
Tripura,2013,38,15,20,15,17,0,1,0,0,0,0,0,36,142
Uttar Pradesh,2013,118,147,202,298,0,0,0,58,5,0,2,0,4217,5047
Uttarakhand,2013,5,2,2,5,0,0,0,0,0,0,0,0,183,197
West Bengal,2013,62,34,105,26,262,0,0,0,0,0,26,0,1749,2264
Total (State),2013,1643,2768,3331,2326,1369,35,160,71,32,9,101,258,20510,32613
A&N Islands,2013,0,0,2,1,0,0,0,0,0,0,0,0,3,6
Chandigarh,2013,0,0,0,0,0,0,0,0,0,0,0,0,22,22
D&N Haveli,2013,0,0,1,0,0,0,0,0,0,0,0,0,2,3
Daman & Diu,2013,0,0,0,0,0,0,0,0,0,0,0,0,9,9
Delhi UT,2013,23,17,67,40,3,0,0,0,0,1,0,0,366,517
Lakshadweep,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,2013,5,0,12,2,0,0,0,0,0,0,0,0,12,31
Total (UTs),2013,28,17,82,43,3,0,0,0,0,1,0,0,414,588
Total (All-India),2013,1671,2785,3413,2369,1372,35,160,71,32,10,101,258,20924,33201
